Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,IP,,,,13,03/25/2020,03/31/2020,5735.0,Number of encounters
0,IP,,,,14,04/01/2020,04/07/2020,5539.0,Number of encounters
0,IP,,,,15,04/08/2020,04/14/2020,5533.0,Number of encounters
0,IP,,,,16,04/15/2020,04/21/2020,5788.0,Number of encounters
0,IP,,,,17,04/22/2020,04/28/2020,5940.0,Number of encounters
0,IP,,,,18,04/29/2020,05/05/2020,6480.0,Number of encounters
0,IP,,,,19,05/06/2020,05/12/2020,6525.0,Number of encounters
0,IP,,,,20,05/13/2020,05/19/2020,6827.0,Number of encounters
0,IP,,,,21,05/20/2020,05/26/2020,6593.0,Number of encounters
0,IP,,,,22,05/27/2020,06/02/2020,7204.0,Number of encounters
0,IP,,,,23,06/03/2020,06/09/2020,7429.0,Number of encounters
0,IP,,,,24,06/10/2020,06/16/2020,7539.0,Number of encounters
0,IP,,,,25,06/17/2020,06/23/2020,7531.0,Number of encounters
0,IP,,,,26,06/24/2020,06/30/2020,7429.0,Number of encounters
0,IP,,,,27,07/01/2020,07/07/2020,7454.0,Number of encounters
0,IP,,,,28,07/08/2020,07/14/2020,7433.0,Number of encounters
0,IP,,,,29,07/15/2020,07/21/2020,7362.0,Number of encounters
0,IP,,,,30,07/22/2020,07/28/2020,7386.0,Number of encounters
0,IP,,,,31,07/29/2020,08/04/2020,7343.0,Number of encounters
0,IP,,,,32,08/05/2020,08/11/2020,7595.0,Number of encounters
0,IP,,,,33,08/12/2020,08/18/2020,7567.0,Number of encounters
0,IP,,,,34,08/19/2020,08/25/2020,7602.0,Number of encounters
0,IP,,,,35,08/26/2020,09/01/2020,7626.0,Number of encounters
0,IP,,,,36,09/02/2020,09/08/2020,7129.0,Number of encounters
0,IP,,,,37,09/09/2020,09/15/2020,7710.0,Number of encounters
0,IP,,,,38,09/16/2020,09/22/2020,7599.0,Number of encounters
0,IP,,,,39,09/23/2020,09/29/2020,7921.0,Number of encounters
0,IP,,,,40,09/30/2020,10/06/2020,7771.0,Number of encounters
0,IP,,,,41,10/07/2020,10/13/2020,7958.0,Number of encounters
0,IP,,,,42,10/14/2020,10/20/2020,7819.0,Number of encounters
0,IP,,,,43,10/21/2020,10/27/2020,7770.0,Number of encounters
0,IP,,,,44,10/28/2020,11/03/2020,7670.0,Number of encounters
0,IP,,,,45,11/04/2020,11/10/2020,8187.0,Number of encounters
0,IP,,,,46,11/11/2020,11/17/2020,7785.0,Number of encounters
0,IP,,,,47,11/18/2020,11/24/2020,7761.0,Number of encounters
0,IP,,,,48,11/25/2020,12/01/2020,7331.0,Number of encounters
0,IP,,,,49,12/02/2020,12/08/2020,7709.0,Number of encounters
0,IP,,,,50,12/09/2020,12/15/2020,7755.0,Number of encounters
0,IP,,,,51,12/16/2020,12/22/2020,7370.0,Number of encounters
0,IP,,,,52,12/23/2020,12/29/2020,6886.0,Number of encounters
0,IP,,,,53,12/30/2020,01/05/2021,7664.0,Number of encounters
0,IP,,,,54,01/06/2021,01/12/2021,7621.0,Number of encounters
0,IP,,,,55,01/13/2021,01/19/2021,7752.0,Number of encounters
0,IP,,,,56,01/20/2021,01/26/2021,7731.0,Number of encounters
0,IP,,,,57,01/27/2021,02/02/2021,7554.0,Number of encounters
0,IP,,,,58,02/03/2021,02/09/2021,7819.0,Number of encounters
0,IP,,,,59,02/10/2021,02/16/2021,7278.0,Number of encounters
0,IP,,,,60,02/17/2021,02/23/2021,7831.0,Number of encounters
0,IP,,,,61,02/24/2021,03/02/2021,7894.0,Number of encounters
0,IP,,,,62,03/03/2021,03/09/2021,7790.0,Number of encounters
0,IP,,,,63,03/10/2021,03/16/2021,7845.0,Number of encounters
0,IP,,,,64,03/17/2021,03/23/2021,7874.0,Number of encounters
0,IP,,,,65,03/24/2021,03/30/2021,8064.0,Number of encounters
0,IP,,,,66,03/31/2021,04/06/2021,7907.0,Number of encounters
0,IP,,,,67,04/07/2021,04/13/2021,8283.0,Number of encounters
0,IP,,,,68,04/14/2021,04/20/2021,8221.0,Number of encounters
0,IP,,,,69,04/21/2021,04/27/2021,8127.0,Number of encounters
0,IP,,,,70,04/28/2021,05/04/2021,8264.0,Number of encounters
0,IP,,,,71,05/05/2021,05/11/2021,7898.0,Number of encounters
0,IP,,,,72,05/12/2021,05/18/2021,8003.0,Number of encounters
0,IP,,,,73,05/19/2021,05/25/2021,8056.0,Number of encounters
0,IP,,,,74,05/26/2021,06/01/2021,7575.0,Number of encounters
0,IP,,,,75,06/02/2021,06/08/2021,8364.0,Number of encounters
0,IP,,,,76,06/09/2021,06/15/2021,8277.0,Number of encounters
0,IP,,,,77,06/16/2021,06/22/2021,8152.0,Number of encounters
0,IP,,,,78,06/23/2021,06/29/2021,8325.0,Number of encounters
0,IP,,,,79,06/30/2021,07/06/2021,7883.0,Number of encounters
0,IP,,,,80,07/07/2021,07/13/2021,8280.0,Number of encounters
0,IP,,,,81,07/14/2021,07/20/2021,8180.0,Number of encounters
0,IP,,,,82,07/21/2021,07/27/2021,8120.0,Number of encounters
0,IP,,,,83,07/28/2021,08/03/2021,8122.0,Number of encounters
0,IP,,,,84,08/04/2021,08/10/2021,8229.0,Number of encounters
0,IP,,,,85,08/11/2021,08/17/2021,8118.0,Number of encounters
0,IP,,,,86,08/18/2021,08/24/2021,8039.0,Number of encounters
0,IP,,,,87,08/25/2021,08/31/2021,8014.0,Number of encounters
0,IP,,,,88,09/01/2021,09/07/2021,7713.0,Number of encounters
0,IP,,,,89,09/08/2021,09/14/2021,8218.0,Number of encounters
0,IP,,,,90,09/15/2021,09/21/2021,8109.0,Number of encounters
0,IP,,,,91,09/22/2021,09/28/2021,7986.0,Number of encounters
0,IP,,,,92,09/29/2021,10/05/2021,7968.0,Number of encounters
0,IP,,,,93,10/06/2021,10/12/2021,7965.0,Number of encounters
0,IP,,,,94,10/13/2021,10/19/2021,7983.0,Number of encounters
0,IP,,,,95,10/20/2021,10/26/2021,8027.0,Number of encounters
0,IP,,,,96,10/27/2021,11/02/2021,7870.0,Number of encounters
0,IP,,,,97,11/03/2021,11/09/2021,8053.0,Number of encounters
0,IP,,,,98,11/10/2021,11/16/2021,8306.0,Number of encounters
0,IP,,,,99,11/17/2021,11/23/2021,7965.0,Number of encounters
0,IP,,,,100,11/24/2021,11/30/2021,7463.0,Number of encounters
0,IP,,,,101,12/01/2021,12/07/2021,8259.0,Number of encounters
0,IP,,,,102,12/08/2021,12/14/2021,8072.0,Number of encounters
0,IP,,,,103,12/15/2021,12/21/2021,8032.0,Number of encounters
0,IP,,,,104,12/22/2021,12/28/2021,7309.0,Number of encounters
0,IP,,,,105,12/29/2021,01/04/2022,7761.0,Number of encounters
0,IP,,,,106,01/05/2022,01/11/2022,7779.0,Number of encounters
0,IP,,,,107,01/12/2022,01/18/2022,7617.0,Number of encounters
0,IP,,,,108,01/19/2022,01/25/2022,7642.0,Number of encounters
0,IP,,,,109,01/26/2022,02/01/2022,7665.0,Number of encounters
0,IP,,,,110,02/02/2022,02/08/2022,7398.0,Number of encounters
0,IP,,,,111,02/09/2022,02/15/2022,7631.0,Number of encounters
0,IP,,,,112,02/16/2022,02/22/2022,7744.0,Number of encounters
0,IP,,,,113,02/23/2022,03/01/2022,7527.0,Number of encounters
0,IP,,,,114,03/02/2022,03/08/2022,7807.0,Number of encounters
0,IP,,,,115,03/09/2022,03/15/2022,7316.0,Number of encounters
0,IP,,,,116,03/16/2022,03/22/2022,7398.0,Number of encounters
0,IP,,,,117,03/23/2022,03/29/2022,6908.0,Number of encounters
0,IP,,,,118,03/30/2022,04/05/2022,7279.0,Number of encounters
0,IP,,,,119,04/06/2022,04/12/2022,7724.0,Number of encounters
0,IP,,,,120,04/13/2022,04/19/2022,7797.0,Number of encounters
0,IP,,,,121,04/20/2022,04/26/2022,8021.0,Number of encounters
0,IP,,,,122,04/27/2022,05/03/2022,7944.0,Number of encounters
0,IP,,,,123,05/04/2022,05/10/2022,7797.0,Number of encounters
0,IP,,,,124,05/11/2022,05/17/2022,8149.0,Number of encounters
0,IP,,,,125,05/18/2022,05/24/2022,8106.0,Number of encounters
0,IP,,,,126,05/25/2022,05/31/2022,7568.0,Number of encounters
0,IP,,,,127,06/01/2022,06/07/2022,7980.0,Number of encounters
0,IP,,,,128,06/08/2022,06/14/2022,8058.0,Number of encounters
0,IP,,,,129,06/15/2022,06/21/2022,7860.0,Number of encounters
0,IP,,,,130,06/22/2022,06/28/2022,8058.0,Number of encounters
0,IP,,,,131,06/29/2022,07/05/2022,7481.0,Number of encounters
0,IP,,,,132,07/06/2022,07/12/2022,8248.0,Number of encounters
0,IP,,,,133,07/13/2022,07/19/2022,8087.0,Number of encounters
0,IP,,,,134,07/20/2022,07/26/2022,8074.0,Number of encounters
0,IP,,,,135,07/27/2022,08/02/2022,8025.0,Number of encounters
0,IP,,,,136,08/03/2022,08/09/2022,7913.0,Number of encounters
0,IP,,,,137,08/10/2022,08/16/2022,8094.0,Number of encounters
0,IP,,,,138,08/17/2022,08/23/2022,8107.0,Number of encounters
0,IP,,,,139,08/24/2022,08/30/2022,8167.0,Number of encounters
0,IP,,,,140,08/31/2022,09/06/2022,7768.0,Number of encounters
0,IP,,,,141,09/07/2022,09/13/2022,8291.0,Number of encounters
0,IP,,,,142,09/14/2022,09/20/2022,8267.0,Number of encounters
0,IP,,,,143,09/21/2022,09/27/2022,8098.0,Number of encounters
0,IP,,,,144,09/28/2022,10/04/2022,7965.0,Number of encounters
0,IP,,,,145,10/05/2022,10/11/2022,8083.0,Number of encounters
0,IP,,,,146,10/12/2022,10/18/2022,8095.0,Number of encounters
0,IP,,,,147,10/19/2022,10/25/2022,8311.0,Number of encounters
0,IP,,,,148,10/26/2022,11/01/2022,8499.0,Number of encounters
0,IP,,,,149,11/02/2022,11/08/2022,8919.0,Number of encounters
0,IP,,,,150,11/09/2022,11/15/2022,8706.0,Number of encounters
0,IP,,,,151,11/16/2022,11/22/2022,8226.0,Number of encounters
0,IP,,,,152,11/23/2022,11/29/2022,8044.0,Number of encounters
0,IP,,,,153,11/30/2022,12/06/2022,8976.0,Number of encounters
0,IP,,,,154,12/07/2022,12/13/2022,8835.0,Number of encounters
0,IP,,,,155,12/14/2022,12/20/2022,8756.0,Number of encounters
0,IP,,,,156,12/21/2022,12/27/2022,7858.0,Number of encounters
0,IP,,,,157,12/28/2022,01/03/2023,8582.0,Number of encounters
0,IP,,,,158,01/04/2023,01/10/2023,8885.0,Number of encounters
0,IP,,,,159,01/11/2023,01/17/2023,8320.0,Number of encounters
0,IP,,,,160,01/18/2023,01/24/2023,8360.0,Number of encounters
0,IP,,,,161,01/25/2023,01/31/2023,8369.0,Number of encounters
0,IP,,,,162,02/01/2023,02/07/2023,8328.0,Number of encounters
0,IP,,,,163,02/08/2023,02/14/2023,8745.0,Number of encounters
0,IP,,,,164,02/15/2023,02/21/2023,8588.0,Number of encounters
0,IP,,,,165,02/22/2023,02/28/2023,8557.0,Number of encounters
0,IP,,,,166,03/01/2023,03/07/2023,8702.0,Number of encounters
0,IP,,,,167,03/08/2023,03/14/2023,8497.0,Number of encounters
0,IP,,,,168,03/15/2023,03/21/2023,8745.0,Number of encounters
0,IP,,,,169,03/22/2023,03/28/2023,8557.0,Number of encounters
0,IP,,,,170,03/29/2023,04/04/2023,8603.0,Number of encounters
0,IP,,,,171,04/05/2023,04/11/2023,8316.0,Number of encounters
0,IP,,,,172,04/12/2023,04/18/2023,8653.0,Number of encounters
0,IP,,,,173,04/19/2023,04/25/2023,8555.0,Number of encounters
0,IP,,,,174,04/26/2023,05/02/2023,8538.0,Number of encounters
0,IP,,,,175,05/03/2023,05/09/2023,8368.0,Number of encounters
0,IP,,,,176,05/10/2023,05/16/2023,8407.0,Number of encounters
0,IP,,,,177,05/17/2023,05/23/2023,8588.0,Number of encounters
0,IP,,,,178,05/24/2023,05/30/2023,8165.0,Number of encounters
0,IP,,,,179,05/31/2023,06/06/2023,8513.0,Number of encounters
0,IP,,,,180,06/07/2023,06/13/2023,8515.0,Number of encounters
0,IP,,,,181,06/14/2023,06/20/2023,8495.0,Number of encounters
0,IP,,,,182,06/21/2023,06/27/2023,8406.0,Number of encounters
0,IP,,,,183,06/28/2023,07/04/2023,7874.0,Number of encounters
0,IP,,,,184,07/05/2023,07/11/2023,8803.0,Number of encounters
0,IP,,,,185,07/12/2023,07/18/2023,8548.0,Number of encounters
0,IP,,,,186,07/19/2023,07/25/2023,8409.0,Number of encounters
0,IP,,,,187,07/26/2023,08/01/2023,8435.0,Number of encounters
0,IP,,,,188,08/02/2023,08/08/2023,8584.0,Number of encounters
0,IP,,,,189,08/09/2023,08/15/2023,8540.0,Number of encounters
0,IP,,,,190,08/16/2023,08/22/2023,8628.0,Number of encounters
0,IP,,,,191,08/23/2023,08/29/2023,8442.0,Number of encounters
0,IP,,,,192,08/30/2023,09/05/2023,8169.0,Number of encounters
0,IP,,,,193,09/06/2023,09/12/2023,8667.0,Number of encounters
0,IP,,,,194,09/13/2023,09/19/2023,8617.0,Number of encounters
0,IP,,,,195,09/20/2023,09/26/2023,8600.0,Number of encounters
0,IP,,,,196,09/27/2023,10/03/2023,8543.0,Number of encounters
0,IP,,,,197,10/04/2023,10/10/2023,8734.0,Number of encounters
0,IP,,,,198,10/11/2023,10/17/2023,8495.0,Number of encounters
0,IP,,,,199,10/18/2023,10/24/2023,8524.0,Number of encounters
0,IP,,,,200,10/25/2023,10/31/2023,8269.0,Number of encounters
